"","x"
"363","DNAJB5"
"364","CLDN7"
"365","FBXO27"
"366","DTX4"
"367","CYP2J2"
"368","ETS2"
"369","ARHGAP24"
"370","CD163L1"
"371","ERAP2"
"372","AS3MT"
"373","APOBEC3C"
"374","DSE"
"375","CYP39A1"
"376","DUSP5"
"377","CCDC85B"
"378","ADM"
"379","CENPV"
"380","EPHB6"
"381","B4GALNT1"
"382","DMTN"
"383","A1BG"
"384","ELMO3"
"385","BOC"
"386","ARHGEF16"
"387","FAM134B"
"388","CAMK1D"
"389","CITED4"
"390","CELSR1"
"391","BAI2"
"392","AGPAT4"
"393","BNIP3"
"394","ETV4"
"395","ETNK2"
"396","CTSH"
"397","BSPRY"
"398","ANKRD65"
"399","EPB41L2"
"400","ANG"
